,Acc_X,Acc_Y,Acc_Z
1.51,3.937617,-6.044611,-4.451878
1.52,3.899821,-6.067118,-4.298921
1.53,3.898563,-6.056389,-4.074296
1.54,4.035057,-6.011868,-3.911921
1.55,4.037992,-5.999992,-3.713088
1.56,4.10293,-6.062021,-3.41189
1.57,4.106538,-6.004242,-3.204583
1.58,4.167349,-5.934026,-3.178818
1.59,4.213354,-5.968832,-3.210822
1.6,4.106729,-6.114988,-2.987572
1.61,4.233715,-6.324244,-2.756386
1.62,4.490677,-6.5825,-2.685387
1.63,4.702615,-6.732914,-2.731074
1.64,4.84478,-6.695656,-2.706337
1.65,5.057332,-6.399029,-2.566438
1.66,5.244441,-6.210634,-2.628243
1.67,5.492693,-6.187125,-2.698304
1.68,5.531474,-6.089205,-2.475219
1.69,5.416936,-5.892262,-2.284203
1.7,5.436952,-5.807693,-2.046727
1.71,5.578122,-5.965746,-1.896355
1.72,5.695367,-6.089591,-1.795223
1.73,5.886267,-6.211088,-1.848761
1.74,6.028062,-6.499794,-2.013138
1.75,5.963236,-6.670388,-2.183541
1.76,6.001245,-6.766726,-1.813113
1.77,6.180939,-6.847301,-1.666847
1.78,6.200033,-6.869844,-1.683845
1.79,6.253774,-6.942097,-1.607921
1.8,6.280632,-7.265091,-1.643356
1.81,6.378936,-7.798213,-1.763542
1.82,6.602877,-8.082987,-1.89801
1.83,6.885428,-7.736757,-1.810473
1.84,6.835896,-6.868558,-1.508424
1.85,6.631366,-6.058651,-1.315791
1.86,6.583503,-5.736055,-1.318838
1.87,6.524445,-5.871101,-1.048062
1.88,6.572819,-6.33215,-1.092777
1.89,6.849477,-6.984159,-1.312699
1.9,7.22361,-7.529426,-1.655218
1.91,7.32367,-8.179987,-1.765788
1.92,7.1693,-8.481342,-1.669937
1.93,7.221343,-8.629643,-1.505491
1.94,7.310636,-8.568541,-1.33487
1.95,7.201276,-8.363823,-1.256742
1.96,7.165882,-7.832227,-1.280218
1.97,7.231926,-7.32439,-1.258659
1.98,7.274969,-6.926242,-1.226139
1.99,7.339154,-6.854831,-0.966937
2,7.306126,-6.886054,-0.964074
2.01,7.12986,-7.035656,-1.188598
2.02,6.884428,-7.205998,-1.392837
2.03,6.809639,-7.425563,-1.526656
2.04,6.885563,-7.626068,-1.415285
2.05,6.95651,-7.802185,-1.323374
2.06,6.947147,-7.799322,-1.221818
2.07,6.938604,-7.718712,-1.234372
2.08,6.964725,-7.500461,-1.069423
2.09,6.912139,-7.126083,-1.192803
2.1,6.959312,-6.976081,-1.124674
2.11,6.944635,-6.975297,-1.382531
2.12,6.925576,-7.438632,-1.553644
2.13,7.046634,-8.163293,-1.468588
2.14,7.178394,-8.783533,-1.558907
2.15,7.04855,-8.645181,-1.814189
2.16,7.261279,-8.371509,-1.63188
2.17,7.490677,-8.481668,-1.495169
2.18,7.619883,-8.502037,-1.718328
2.19,7.696347,-7.904228,-1.770113
2.2,7.839853,-7.187088,-1.610149
2.21,8.020406,-6.802084,-1.725899
2.22,8.224636,-6.759964,-2.188977
2.23,8.441398,-6.33516,-2.343818
2.24,8.460109,-5.953689,-2.484044
2.25,8.363015,-5.945487,-2.791558
2.26,8.280302,-6.257034,-2.980139
2.27,8.107506,-6.942039,-3.158387
2.28,7.984632,-7.63312,-3.381786
2.29,8.11041,-8.054101,-3.338651
2.3,8.315705,-8.116203,-3.452593
2.31,8.367696,-7.976746,-3.531246
